NOM,BG,EXPRESSION,FX,DIALOGUE
,noir,,ACT,
,noir,absent,,[shake]*BZZZZZZ* *BZZZZZZZ*[/shake]
MOI,chambre,,,Grmbllmm....[wave]Quoi encore....?[/wave]
Narrateur ,,,,"(Une notification...QUI EST-CE, dans VISUAL NOVEL ???!!!! QUOI? Octaaave ? Votre love interest? Juuureeee on avait pas TOUS deviné ? Bref, qu'est-ce qu'il veut de bon matin ?)"
MOI,,,,"Enfin !!! Il a répondu après 11 remis, 84 heures 56 minutes et 12 secondes, quel soulagement !"
Octave,,,,"Salut ! Tu pourrais me rendre service ? T'es mon dernier espoir ! J'ai grave besoin de quelqu'un pour jouer d'un instrument dans ma nouvelle compo. Choisis ce qui t'inspire, n'importe quoi. Et on se rejoint ce soir pour une démo ? "
MOI,parc,cringe,slide_in,"(Après notre premier rendez-vous, Octave a eu une réaction innattendue face à ma prestation d'instrument à percussion. Sûrement parce que ça lui a fait un coup de voir autant de talent.)"
MOI,chambre,cringe,,"(Sur cette base j'ai réfléchi. Qu'est-ce que m'inspire Octave ? Et là, l'idée du siècle ! Avec tout les vents qu'il m'a mis je vais être experte en trompette ! C'est tout trouvé, ce soir il va être époustoufflé !)"
Narrateur (désabusé),noir,absent,,"(Ah ! Aussi ! Vous vous en doutez bien mais vous n'avez PAS de trompette, car pour rappel jouer d'un instrument vous importe peu. Donc, en plus d'être un gouffre de temps et d'efforts, à force d'acheter des instruments cela devient également un gouffre financier.)"
MOI,,,,ROOOHHHH....
Narrateur (désabusé),,,,"(Cependant, vous avez un avantage ! Grâce, ou à cause de votre obsession grandissande, vous avez écouté des heures de cours de trompette sur Youtube Premium, durant votre sommeil et cela, pour rappelons-nous en, l'équivalent d'un peu plus de 3 JOURS DE REMIS ?!)"
MOI,,,,Comme quoi...les efforts payent ! Malheureusement pas en euros...
MOI,,,,(...)
Narrateur ,,,,On attend quelque chose? J'avais rien à dire d'autre dans le script !
Narrateur,,,,(...)
Narrateur,,,,(...)
Narrateur,,,,[shake](AH OUI MERDE C'EST MOI QUI DOIT FAIRE l'ELLIPSE TEMPORELLE)[/shake]
Narrateur,bar,,reset_music,(Plus tard dans la soirée...)
Octave,,neutre,slide_in,(...)
Octave,,etoile,,"Ah ! Te voilà, je t'attendais ! Alors, qui est l'heureux élu ?"
MOI,,,,(C'est toi l'élu de mon coeur....)
MOI,,,,J'ai choisi une trompette parce que ça m'inspire les vents que tu....[wave]ressens à la mer ??[/wave]
Octave,,cringe,,D'accord....
Octave,,neutre,,"Passons, montres moi ce que tu sais faire !"
MOI,,,,"(Allez, c'est mon moment ! Il suffit d'appliquer tout ce que j'ai appris dans mon sommeil !)"
Narrateur (avec ça il va abandonner c'est sur),noir,absent,,"(Pauvre créature, ne savez-vous donc pas que le taux d'informations retenu par le biais d'écoute pendant le sommeil est à moins de 5% ? Cette préparation était donc quasi nulle, même voir inutile !)"
MOI,bar,neutre,TROMPETTE,...
Octave,,cringe,,"On ressent les efforts et le coeur que tu y a mis a l'ouvrage, mais...le résultat n'y correspond pas. Je ne pense pas que tu aie le niveau."
MOI,,,,"Ah ça ! Mais oui aussi quand tu m'as dis de prendre l'instrument de mon choix j'ai voulu sortir de ma zone de confort, mais de base ma spécialité c'est le ukulélé !"
Octave ,,etoile,,"Sérieusement ! Et tu m'as caché ça tout ce temps ?! Le ukulélé serait parfait pour nous! Viens avec demain, et on se refait ça !"
Narrateur (c'est badant),,absent,,"(Vous devenez fort, bien trop fort dans vos mensonges, ce qui est terrifiant d'ailleurs! Mais combien de temps votre mascarade pourra-t-elle encore tenir ?)"
